Comment,Designator,Footprint,LCSC
10nF,C12,C_0402_1005Metric,C15195
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
4.7uF,"C13,C14,C19",C_0402_1005Metric,C23733
100k,R12,R_0402_1005Metric,C25741
10k,"R10,R11",R_0402_1005Metric,C25744
5k1,"R8,R9",R_0402_1005Metric,C25905
PRTR5V0U2X,D46,SOT-143,C2827688
100nF,"C10,C11,C8,C9",C_0402_1005Metric,C307331
SW_Push,SW46,SW_SPST_TL3342,C318884
1uF,"C15,C16,C17,C18",C_0402_1005Metric,C52923
XC6206PxxxMR,U4,SOT-23,C5446
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D5,D6,D7,D8,D9",D_SOD-123,C81598
2N7002,Q1,SOT-23,C8545
500mA,F2,Fuse_0603_1608Metric,C883095
STM32F072C8Tx,U5,LQFP-48_7x7mm_P0.5mm,C915660
MX_SW_solder,SW25,SW_MX_1.75u,
MX_SW_solder,SW35,SW_MX_1u,
MX_SW_solder,SW21,SW_MX_1u,
MX_SW_solder,SW31,SW_MX_1u,
MX_SW_solder,SW39,SW_MX_1u,
MX_SW_solder,SW28,SW_MX_1u,
MX_SW_solder,SW23,SW_MX_1u,
MX_SW_solder,SW19,SW_MX_1u,
MX_SW_solder,SW7,SW_MX_1u,
MX_SW_solder,SW41,SW_MX_1u,
MX_SW_solder,SW13,SW_MX_1u,
MountingHole,H1,MountingHole_2.2mm_M2_DIN965_Pad,
MX_SW_solder,SW33,SW_MX_1u,
MX_SW_solder,SW20,SW_MX_1u,
MX_stab,S2,STAB_MX_3u,
MX_SW_solder,SW29,SW_MX_1u,
MX_SW_solder,SW14,SW_MX_1.25u,
MX_SW_solder,SW15,SW_MX_1u,
MX_stab,S3,STAB_MX_2u,
MX_SW_solder,SW18,SW_MX_1u,
MX_SW_solder,SW30,SW_MX_1u,
MX_SW_solder,SW4,SW_MX_1u,
MX_SW_solder,SW5,SW_MX_1u,
MX_SW_solder,SW10,SW_MX_1u,
MX_SW_solder,SW36,SW_MX_1u,
MX_SW_solder,SW9,SW_MX_1u,
MX_SW_solder,SW42,SW_MX_1u,
MX_SW_solder,SW24,SW_MX_1u,
MX_SW_solder,SW37,SW_MX_1u,
MountingHole,H2,MountingHole_2.2mm_M2_DIN965_Pad,
MX_SW_solder,SW45,SW_MX_1.25u,
MX_SW_solder,SW34,SW_MX_1u,
MX_SW_solder,SW26,SW_MX_1.75u,
MX_SW_solder,SW3,SW_MX_1u,
MX_SW_solder,SW2,SW_MX_1u,
MountingHole,H3,MountingHole_2.2mm_M2_DIN965_Pad,
MX_SW_solder,SW8,SW_MX_1u,
MX_SW_solder,SW40,SW_MX_1.25u,
MX_SW_solder,SW17,SW_MX_1u,
MX_SW_solder,SW16,SW_MX_1u,
MountingHole,H5,MountingHole_2.2mm_M2_DIN965_Pad,
MX_stab,S1,STAB_MX_2.75u,
MX_SW_solder,SW32,SW_MX_1u,
MX_SW_solder,SW44,SW_MX_1u,
MountingHole,H4,MountingHole_2.2mm_M2_DIN965_Pad,
MX_SW_solder,SW6,SW_MX_1u,
MX_SW_solder,SW11,SW_MX_1u,
MX_SW_solder,SW38,SW_MX_1.25u,
MX_SW_solder,SW22,SW_MX_1u,
MX_SW_solder,SW1,SW_MX_1u,
MX_SW_solder,SW27,SW_MX_1u,
MX_SW_solder,SW12,SW_MX_1u,
MX_SW_solder,SW43,SW_MX_1.25u,
MX_stab,S4,STAB_MX_6.25u,
MX_SW_solder,SW57,SW_MX_1u,
MX_SW_solder,SW50,SW_MX_1u,
MX_SW_solder,SW55,SW_MX_1u,
MX_SW_solder,SW56,SW_MX_1u,
MountingHole,H6,MountingHole_2.2mm_M2_DIN965_Pad,
