Designator,Footprint,Quantity,Value,LCSC Part #
C10,0402,1,100nF,
C11,0402,1,100nF,
C12,0402,1,10nF,
C13,0402,1,4.7uF,
C14,0402,1,4.7uF,
C15,0402,1,1uF,
C16,0402,1,1uF,
C17,0402,1,1uF,
C18,0402,1,1uF,
C19,0402,1,4.7uF,
C8,0402,1,100nF,
C9,0402,1,100nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D5, D6, D7, D8, D9",D_SOD-123,45,D_Small,
F2,0603,1,500mA,
"H1, H4, H5",MountingHole_2.2mm_M2_DIN965_Pad,3,MountingHole,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
Q1,SOT-23,1,2N7002,
R10,0402,1,10k,
R11,0402,1,10k,
R12,0402,1,100k,
R8,0402,1,5k1,
R9,0402,1,5k1,
S1,STAB_MX_2.75u,1,MX_stab,
S2,STAB_MX_3u,1,MX_stab,
S3,STAB_MX_2u,1,MX_stab,
"SW1, SW10, SW11, SW12, SW13, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW39, SW4, SW41, SW42, SW44, SW5, SW6, SW7, SW8, SW9",SW_MX_1u,37,MX_SW_solder,
"SW14, SW37, SW38, SW40, SW43, SW45",SW_MX_1.25u,6,MX_SW_solder,
"SW25, SW26",SW_MX_1.75u,2,MX_SW_solder,
SW46,SW_SPST_TL3342,1,SW_Push,
U3,SOT-23-6-routable,1,SRV05-4,
U4,SOT-23,1,XC6206PxxxMR,
U5,LQFP-48_7x7mm_P0.5mm,1,STM32F072C8Tx,
